scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Boja 1,,,68,5,514,,,,,,1937,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Boja 2,,,82,3,140,,,,,,210,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Brangsong 1,,,31,4,171,,,,,,576,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Brangsong 2,,,50,10,309,,,,,,456,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Cepiring,,,94,9,326,,,,,,1876,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Gemuh 1,,,22,3,122,,,,,,890,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Gemuh 2,,,16,5,122,,,,,,710,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Kaliwungu,,,101,9,675,,,,,,371,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Kaliwungu selatan,,,133,7,328,,,,,,697,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Kangkung 1,,,27,4,59,,,,,,543,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Kangkung 2,,,18,2,64,,,,,,466,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Kendal 1,,,41,6,449,,,,,,585,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Kendal 2,,,53,6,274,,,,,,426,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Limbangan,,,39,0,110,,,,,,857,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Ngampel,,,36,5,255,,,,,,884,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Pageruyung,,,46,2,161,,,,,,1408,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Patean,,,75,3,175,,,,,,2171,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Patebon 1,,,18,7,73,,,,,,312,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Patebon 2,,,39,8,188,,,,,,509,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Pegandon,,,61,7,263,,,,,,631,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Plantungan,,,60,1,78,,,,,,1412,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Ringinarum,,,36,2,137,,,,,,836,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Rowosari 1,,,48,4,129,,,,,,601,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Rowosari 2,,,25,1,57,,,,,,313,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Singorojo 1,,,254,1,183,,,,,,1285,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Singorojo 2,,,14,2,139,,,,,,206,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Sukorejo 1,,,36,1,186,,,,,,1860,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Sukorejo 2,,,16,2,55,,,,,,1174,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Weleri 1,,,59,5,178,,,,,,1622,,,https://corona.kendalkab.go.id/
2021-03-14,kecamatan,Alfie Qashwa,2021-03-14,Jawa Tengah,Kendal,Weleri 2,,,49,4,123,,,,,,356,,,https://corona.kendalkab.go.id/
